0
--------------------------------------------------------
The world settings      : 
Torus world             : No
Num Agents              : 100
Num Obstacles           : 10
Percent of free space   : 0
--------------------------------------------------------
The adaptive & perceptive settings: 
agent-coop     : yes
Adapt to obstacle       : yes
Attention distance      : 9
Attention angle         : 120
Attention resolution    : 9
Head tolerance          : 45
--------------------------------------------------------
The energy settings     : 
Energy maximum of agent : 200
Number of initial fruits: 3
Fruit sharing           : 17
Fruit's generating speed: 4
--------------------------------------------------------
Agents Behaviour Settings : 
Agents Initial behavior :kind
Memory       : yes
--------------------------------------------------------
sim_num 	 time 	 rs 	 no 	 n_alive 	 n_kind 	 n_realist 	 n_selfish 	 vital-space 	 nf 	 Rep
S16	2000	3	10	8	8	0	0	0.8985005767012687	5	0
S17	0	3	10	100	100	0	0	0.8877354863514033	5	0
S17	1000	3	10	9	9	0	0	0.8877354863514033	5	0
S17	2000	3	10	6	6	0	0	0.8877354863514033	5	0
S18	0	3	10	100	100	0	0	0.8908112264513649	5	0
S18	1000	3	10	9	9	0	0	0.8908112264513649	5	0
S18	2000	3	10	5	5	0	0	0.8908112264513649	5	0
S19	0	3	10	100	100	0	0	0.895040369088812	5	0
S19	1000	3	10	13	13	0	0	0.895040369088812	5	0
S19	2000	3	10	8	8	0	0	0.895040369088812	5	0
S20	0	3	10	100	100	0	0	0.8900422914263745	5	0
S20	1000	3	10	6	6	0	0	0.8900422914263745	5	0
S20	2000	3	10	5	5	0	0	0.8900422914263745	5	0
S21	0	3	10	100	100	0	0	0.9000384467512496	5	0
S21	1000	3	10	12	12	0	0	0.9000384467512496	5	0
S21	2000	3	10	5	5	0	0	0.9000384467512496	5	0
S22	0	3	10	100	100	0	0	0.8981161091887736	5	0
S22	1000	3	10	8	8	0	0	0.8981161091887736	5	0
S22	2000	3	10	6	6	0	0	0.8981161091887736	5	0
S23	0	3	10	100	100	0	0	0.89119569396386	5	0
S23	1000	3	10	8	8	0	0	0.89119569396386	5	0
S23	2000	3	10	0	0	0	0	0.89119569396386	5	0
S24	0	3	10	100	100	0	0	0.8931180315263361	5	0
S24	1000	3	10	7	7	0	0	0.8931180315263361	5	0
S24	2000	3	10	3	3	0	0	0.8931180315263361	5	0
S25	0	3	10	100	100	0	0	0.8861976163014226	5	0
S25	1000	3	10	12	12	0	0	0.8861976163014226	5	0
S25	2000	3	10	6	6	0	0	0.8861976163014226	5	0
S26	0	3	10	100	100	0	0	0.8988850442137639	5	0
S26	1000	3	10	17	17	0	0	0.8988850442137639	5	0
S26	2000	3	10	9	9	0	0	0.8988850442137639	5	0
S27	0	3	10	100	100	0	0	0.9004229142637448	5	0
S27	1000	3	10	7	7	0	0	0.9004229142637448	5	0
S27	2000	3	10	5	5	0	0	0.9004229142637448	5	0
S28	0	3	10	100	100	0	0	0.8888888888888888	5	0
S28	1000	3	10	11	11	0	0	0.8888888888888888	5	0
S28	2000	3	10	7	7	0	0	0.8888888888888888	5	0
S29	0	3	10	100	100	0	0	0.8938869665513264	5	0
S29	1000	3	10	9	9	0	0	0.8938869665513264	5	0
S29	2000	3	10	6	6	0	0	0.8938869665513264	5	0
S30	0	3	10	100	100	0	0	0.889273356401384	5	0
S30	1000	3	10	12	12	0	0	0.889273356401384	5	0
S30	2000	3	10	10	10	0	0	0.889273356401384	5	0
S31	0	3	10	100	100	0	0	0.8923490965013456	5	0
S31	1000	3	10	10	10	0	0	0.8923490965013456	5	0
S31	2000	3	10	8	8	0	0	0.8923490965013456	5	0
S32	0	3	10	100	100	0	0	0.8904267589388697	5	0
S32	1000	3	10	9	9	0	0	0.8904267589388697	5	0
S32	2000	3	10	8	8	0	0	0.8904267589388697	5	0
S33	0	3	10	100	100	0	0	0.8954248366013072	5	0
S33	1000	3	10	9	9	0	0	0.8954248366013072	5	0
S33	2000	3	10	9	9	0	0	0.8954248366013072	5	0
S34	0	3	10	100	100	0	0	0.8919646289888504	5	0
S34	1000	3	10	14	14	0	0	0.8919646289888504	5	0
S34	2000	3	10	9	9	0	0	0.8919646289888504	5	0
S35	0	3	10	100	100	0	0	0.8923490965013456	5	0
S35	1000	3	10	5	5	0	0	0.8923490965013456	5	0
S35	2000	3	10	3	3	0	0	0.8923490965013456	5	0
S36	0	3	10	100	100	0	0	0.8900422914263745	5	0
S36	1000	3	10	13	13	0	0	0.8900422914263745	5	0
S36	2000	3	10	12	12	0	0	0.8900422914263745	5	0
S37	0	3	10	100	100	0	0	0.8977316416762784	5	0
S37	1000	3	10	12	12	0	0	0.8977316416762784	5	0
S37	2000	3	10	9	9	0	0	0.8977316416762784	5	0
S38	0	3	10	100	100	0	0	0.8777393310265282	5	0
S38	1000	3	10	12	12	0	0	0.8777393310265282	5	0
S38	2000	3	10	6	6	0	0	0.8777393310265282	5	0
S39	0	3	10	100	100	0	0	0.8896578239138793	5	0
S39	1000	3	10	11	11	0	0	0.8896578239138793	5	0
S39	2000	3	10	5	5	0	0	0.8896578239138793	5	0
S40	0	3	10	100	100	0	0	0.8965782391387928	5	0
