"","sim_num","time","rs","no","n_alive","n_kind","n_realist","n_selfish","vital.space","nf","Rep","fbs","fbsChar","init"
"153","S51",2000,3,0,10,10,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"156","S52",2000,3,0,11,11,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"159","S53",2000,3,0,8,8,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"162","S54",2000,3,0,8,8,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"165","S55",2000,3,0,13,13,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"168","S56",2000,3,0,11,11,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"171","S57",2000,3,0,10,10,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"174","S58",2000,3,0,10,10,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"177","S59",2000,3,0,8,8,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"180","S60",2000,3,0,7,7,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"183","S61",2000,3,0,11,11,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"186","S62",2000,3,0,9,9,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"189","S63",2000,3,0,8,8,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"192","S64",2000,3,0,11,11,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"195","S65",2000,3,0,10,10,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"198","S66",2000,3,0,11,11,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"201","S67",2000,3,0,8,8,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"204","S68",2000,3,0,9,9,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"207","S69",2000,3,0,7,7,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"210","S70",2000,3,0,10,10,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"213","S71",2000,3,0,11,11,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"216","S72",2000,3,0,9,9,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"219","S73",2000,3,0,9,9,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"222","S74",2000,3,0,9,9,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"225","S75",2000,3,0,7,7,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"228","S76",2000,3,0,9,9,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"231","S77",2000,3,0,9,9,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"234","S78",2000,3,0,11,11,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"237","S79",2000,3,0,10,10,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"240","S80",2000,3,0,11,11,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"243","S81",2000,3,0,10,10,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"246","S82",2000,3,0,9,9,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"249","S83",2000,3,0,9,9,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"252","S84",2000,3,0,9,9,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"255","S85",2000,3,0,11,11,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"258","S86",2000,3,0,8,8,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"261","S87",2000,3,0,12,12,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"264","S88",2000,3,0,8,8,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"267","S89",2000,3,0,9,9,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"270","S90",2000,3,0,8,8,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"273","S91",2000,3,0,10,10,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"276","S92",2000,3,0,10,10,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"279","S93",2000,3,0,9,9,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"282","S94",2000,3,0,10,10,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"285","S95",2000,3,0,12,12,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"288","S96",2000,3,0,7,7,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"291","S97",2000,3,0,12,12,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"294","S98",2000,3,0,11,11,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"297","S99",2000,3,0,9,9,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"300","S100",2000,3,0,10,10,0,0,0.923106497500961,5,0,0.3125,"(5,3)","kind"
"303","S101",2000,4,0,21,21,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"306","S102",2000,4,0,20,20,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"309","S103",2000,4,0,17,17,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"312","S104",2000,4,0,20,20,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"315","S105",2000,4,0,19,19,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"318","S106",2000,4,0,17,17,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"321","S107",2000,4,0,21,21,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"324","S108",2000,4,0,19,19,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"327","S109",2000,4,0,20,20,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"330","S110",2000,4,0,15,15,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"333","S111",2000,4,0,18,18,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"336","S112",2000,4,0,19,19,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"339","S113",2000,4,0,18,18,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"342","S114",2000,4,0,19,19,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"345","S115",2000,4,0,19,19,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"348","S116",2000,4,0,20,20,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"351","S117",2000,4,0,22,22,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"354","S118",2000,4,0,19,19,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"357","S119",2000,4,0,21,21,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"360","S120",2000,4,0,16,16,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"363","S121",2000,4,0,18,18,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"366","S122",2000,4,0,20,20,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"369","S123",2000,4,0,18,18,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"372","S124",2000,4,0,23,23,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"375","S125",2000,4,0,21,21,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"378","S126",2000,4,0,21,21,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"381","S127",2000,4,0,20,20,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"384","S128",2000,4,0,19,19,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"387","S129",2000,4,0,21,21,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"390","S130",2000,4,0,20,20,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"393","S131",2000,4,0,22,22,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"396","S132",2000,4,0,19,19,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"399","S133",2000,4,0,19,19,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"402","S134",2000,4,0,17,17,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"405","S135",2000,4,0,22,22,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"408","S136",2000,4,0,17,17,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"411","S137",2000,4,0,16,16,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"414","S138",2000,4,0,21,21,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"417","S139",2000,4,0,22,22,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"420","S140",2000,4,0,20,20,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"423","S141",2000,4,0,18,18,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"426","S142",2000,4,0,22,22,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"429","S143",2000,4,0,15,15,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"432","S144",2000,4,0,19,19,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"435","S145",2000,4,0,19,19,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"438","S146",2000,4,0,19,19,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"441","S147",2000,4,0,17,17,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"444","S148",2000,4,0,18,18,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
