"","sim_num","time","rs","no","n_alive","n_kind","n_realist","n_selfish","vital.space","nf","Rep","fbs","fbsChar","init"
"105","S35",2000,3,10,3,3,0,0,0.892349096501346,5,0,0.3125,"(5,3)","kind"
"108","S36",2000,3,10,12,12,0,0,0.890042291426374,5,0,0.3125,"(5,3)","kind"
"111","S37",2000,3,10,9,9,0,0,0.897731641676278,5,0,0.3125,"(5,3)","kind"
"114","S38",2000,3,10,6,6,0,0,0.877739331026528,5,0,0.3125,"(5,3)","kind"
"117","S39",2000,3,10,5,5,0,0,0.889657823913879,5,0,0.3125,"(5,3)","kind"
"120","S40",2000,3,10,7,7,0,0,0.896578239138793,5,0,0.3125,"(5,3)","kind"
"123","S41",2000,3,10,6,6,0,0,0.883506343713956,5,0,0.3125,"(5,3)","kind"
"126","S42",2000,3,10,5,5,0,0,0.888504421376394,5,0,0.3125,"(5,3)","kind"
"129","S43",2000,3,10,6,6,0,0,0.897731641676278,5,0,0.3125,"(5,3)","kind"
"132","S44",2000,3,10,5,5,0,0,0.893886966551326,5,0,0.3125,"(5,3)","kind"
"135","S45",2000,3,10,6,6,0,0,0.896193771626298,5,0,0.3125,"(5,3)","kind"
"138","S46",2000,3,10,10,10,0,0,0.898116109188774,5,0,0.3125,"(5,3)","kind"
"141","S47",2000,3,10,7,7,0,0,0.899653979238754,5,0,0.3125,"(5,3)","kind"
"144","S48",2000,3,10,6,6,0,0,0.893886966551326,5,0,0.3125,"(5,3)","kind"
"147","S49",2000,3,10,5,5,0,0,0.890811226451365,5,0,0.3125,"(5,3)","kind"
"150","S50",2000,3,10,6,6,0,0,0.893502499038831,5,0,0.3125,"(5,3)","kind"
"153","S51",2000,3,10,5,5,0,0,0.895809304113802,5,0,0.3125,"(5,3)","kind"
"156","S52",2000,3,10,3,3,0,0,0.895424836601307,5,0,0.3125,"(5,3)","kind"
"159","S53",2000,3,10,2,2,0,0,0.896578239138793,5,0,0.3125,"(5,3)","kind"
"162","S54",2000,3,10,6,6,0,0,0.89119569396386,5,0,0.3125,"(5,3)","kind"
"165","S55",2000,3,10,5,5,0,0,0.89119569396386,5,0,0.3125,"(5,3)","kind"
"168","S56",2000,3,10,8,8,0,0,0.89119569396386,5,0,0.3125,"(5,3)","kind"
"171","S57",2000,3,10,6,6,0,0,0.893118031526336,5,0,0.3125,"(5,3)","kind"
"174","S58",2000,3,10,5,5,0,0,0.898116109188774,5,0,0.3125,"(5,3)","kind"
"177","S59",2000,3,10,7,7,0,0,0.885044213763937,5,0,0.3125,"(5,3)","kind"
"180","S60",2000,3,10,6,6,0,0,0.893502499038831,5,0,0.3125,"(5,3)","kind"
"183","S61",2000,3,10,9,9,0,0,0.892349096501346,5,0,0.3125,"(5,3)","kind"
"186","S62",2000,3,10,8,8,0,0,0.891580161476355,5,0,0.3125,"(5,3)","kind"
"189","S63",2000,3,10,7,7,0,0,0.896578239138793,5,0,0.3125,"(5,3)","kind"
"192","S64",2000,3,10,4,4,0,0,0.888119953863899,5,0,0.3125,"(5,3)","kind"
"195","S65",2000,3,10,4,4,0,0,0.899653979238754,5,0,0.3125,"(5,3)","kind"
"198","S66",2000,3,10,9,9,0,0,0.888888888888889,5,0,0.3125,"(5,3)","kind"
"201","S67",2000,3,10,10,10,0,0,0.893886966551326,5,0,0.3125,"(5,3)","kind"
"204","S68",2000,3,10,5,5,0,0,0.882737408688966,5,0,0.3125,"(5,3)","kind"
"207","S69",2000,3,10,7,7,0,0,0.893502499038831,5,0,0.3125,"(5,3)","kind"
"210","S70",2000,3,10,6,6,0,0,0.882737408688966,5,0,0.3125,"(5,3)","kind"
"213","S71",2000,3,10,7,7,0,0,0.895424836601307,5,0,0.3125,"(5,3)","kind"
"216","S72",2000,3,10,7,7,0,0,0.891580161476355,5,0,0.3125,"(5,3)","kind"
"219","S73",2000,3,10,4,4,0,0,0.892733564013841,5,0,0.3125,"(5,3)","kind"
"222","S74",2000,3,10,3,3,0,0,0.89119569396386,5,0,0.3125,"(5,3)","kind"
"225","S75",2000,3,10,10,10,0,0,0.892349096501346,5,0,0.3125,"(5,3)","kind"
"228","S76",2000,3,10,7,7,0,0,0.895809304113802,5,0,0.3125,"(5,3)","kind"
"231","S77",2000,3,10,5,5,0,0,0.895040369088812,5,0,0.3125,"(5,3)","kind"
"234","S78",2000,3,10,4,4,0,0,0.901191849288735,5,0,0.3125,"(5,3)","kind"
"237","S79",2000,3,10,3,3,0,0,0.894655901576317,5,0,0.3125,"(5,3)","kind"
"240","S80",2000,3,10,5,5,0,0,0.890811226451365,5,0,0.3125,"(5,3)","kind"
"243","S81",2000,3,10,9,9,0,0,0.893118031526336,5,0,0.3125,"(5,3)","kind"
"246","S82",2000,3,10,5,5,0,0,0.889657823913879,5,0,0.3125,"(5,3)","kind"
"249","S83",2000,3,10,9,9,0,0,0.89119569396386,5,0,0.3125,"(5,3)","kind"
"252","S84",2000,3,10,7,7,0,0,0.895040369088812,5,0,0.3125,"(5,3)","kind"
"255","S85",2000,3,10,6,6,0,0,0.887351018838908,5,0,0.3125,"(5,3)","kind"
"258","S86",2000,3,10,9,9,0,0,0.899269511726259,5,0,0.3125,"(5,3)","kind"
"261","S87",2000,3,10,6,6,0,0,0.890042291426374,5,0,0.3125,"(5,3)","kind"
"264","S88",2000,3,10,6,6,0,0,0.895424836601307,5,0,0.3125,"(5,3)","kind"
"267","S89",2000,3,10,5,5,0,0,0.898885044213764,5,0,0.3125,"(5,3)","kind"
"270","S90",2000,3,10,6,6,0,0,0.894655901576317,5,0,0.3125,"(5,3)","kind"
"273","S91",2000,3,10,7,7,0,0,0.89042675893887,5,0,0.3125,"(5,3)","kind"
"276","S92",2000,3,10,4,4,0,0,0.886582083813918,5,0,0.3125,"(5,3)","kind"
"279","S93",2000,3,10,7,7,0,0,0.901191849288735,5,0,0.3125,"(5,3)","kind"
"282","S94",2000,3,10,8,8,0,0,0.888888888888889,5,0,0.3125,"(5,3)","kind"
"285","S95",2000,3,10,7,7,0,0,0.90003844675125,5,0,0.3125,"(5,3)","kind"
"288","S96",2000,3,10,3,3,0,0,0.893886966551326,5,0,0.3125,"(5,3)","kind"
"291","S97",2000,3,10,4,4,0,0,0.90080738177624,5,0,0.3125,"(5,3)","kind"
"294","S98",2000,3,10,7,7,0,0,0.889273356401384,5,0,0.3125,"(5,3)","kind"
"297","S99",2000,3,10,8,8,0,0,0.898885044213764,5,0,0.3125,"(5,3)","kind"
"300","S100",2000,3,10,4,4,0,0,0.90080738177624,5,0,0.3125,"(5,3)","kind"
"303","S101",2000,4,10,19,19,0,0,0.887351018838908,5,0,0.625,"(5,4)","kind"
"306","S102",2000,4,10,16,16,0,0,0.886197616301423,5,0,0.625,"(5,4)","kind"
"309","S103",2000,4,10,19,19,0,0,0.891580161476355,5,0,0.625,"(5,4)","kind"
"312","S104",2000,4,10,17,17,0,0,0.898885044213764,5,0,0.625,"(5,4)","kind"
"315","S105",2000,4,10,21,21,0,0,0.896962706651288,5,0,0.625,"(5,4)","kind"
"318","S106",2000,4,10,15,15,0,0,0.896193771626298,5,0,0.625,"(5,4)","kind"
"321","S107",2000,4,10,18,18,0,0,0.890811226451365,5,0,0.625,"(5,4)","kind"
"324","S108",2000,4,10,20,20,0,0,0.898116109188774,5,0,0.625,"(5,4)","kind"
"327","S109",2000,4,10,18,18,0,0,0.90080738177624,5,0,0.625,"(5,4)","kind"
"330","S110",2000,4,10,15,15,0,0,0.896193771626298,5,0,0.625,"(5,4)","kind"
"333","S111",2000,4,10,15,15,0,0,0.890042291426374,5,0,0.625,"(5,4)","kind"
"336","S112",2000,4,10,16,16,0,0,0.884659746251442,5,0,0.625,"(5,4)","kind"
"339","S113",2000,4,10,18,18,0,0,0.893886966551326,5,0,0.625,"(5,4)","kind"
"342","S114",2000,4,10,14,14,0,0,0.886582083813918,5,0,0.625,"(5,4)","kind"
"345","S115",2000,4,10,12,12,0,0,0.895809304113802,5,0,0.625,"(5,4)","kind"
"348","S116",2000,4,10,22,22,0,0,0.90003844675125,5,0,0.625,"(5,4)","kind"
"351","S117",2000,4,10,17,17,0,0,0.891580161476355,5,0,0.625,"(5,4)","kind"
"354","S118",2000,4,10,16,16,0,0,0.885428681276432,5,0,0.625,"(5,4)","kind"
"357","S119",2000,4,10,16,16,0,0,0.898116109188774,5,0,0.625,"(5,4)","kind"
"360","S120",2000,4,10,14,14,0,0,0.896962706651288,5,0,0.625,"(5,4)","kind"
"363","S121",2000,4,10,15,15,0,0,0.896962706651288,5,0,0.625,"(5,4)","kind"
"366","S122",2000,4,10,16,16,0,0,0.89196462898885,5,0,0.625,"(5,4)","kind"
"369","S123",2000,4,10,15,15,0,0,0.889657823913879,5,0,0.625,"(5,4)","kind"
"372","S124",2000,4,10,17,17,0,0,0.90003844675125,5,0,0.625,"(5,4)","kind"
"375","S125",2000,4,10,15,15,0,0,0.890042291426374,5,0,0.625,"(5,4)","kind"
"378","S126",2000,4,10,16,16,0,0,0.896962706651288,5,0,0.625,"(5,4)","kind"
"381","S127",2000,4,10,19,19,0,0,0.905420991926182,5,0,0.625,"(5,4)","kind"
"384","S128",2000,4,10,17,17,0,0,0.903883121876201,5,0,0.625,"(5,4)","kind"
"387","S129",2000,4,10,16,16,0,0,0.893118031526336,5,0,0.625,"(5,4)","kind"
"390","S130",2000,4,10,18,18,0,0,0.896193771626298,5,0,0.625,"(5,4)","kind"
"393","S131",2000,4,10,17,17,0,0,0.887735486351403,5,0,0.625,"(5,4)","kind"
"396","S132",2000,4,10,15,15,0,0,0.892349096501346,5,0,0.625,"(5,4)","kind"
"399","S133",2000,4,10,13,13,0,0,0.89042675893887,5,0,0.625,"(5,4)","kind"
"402","S134",2000,4,10,17,17,0,0,0.884275278738947,5,0,0.625,"(5,4)","kind"
"405","S135",2000,4,10,17,17,0,0,0.904652056901192,5,0,0.625,"(5,4)","kind"
"408","S136",2000,4,10,16,16,0,0,0.90157631680123,5,0,0.625,"(5,4)","kind"
"411","S137",2000,4,10,17,17,0,0,0.896193771626298,5,0,0.625,"(5,4)","kind"
"414","S138",2000,4,10,20,20,0,0,0.896193771626298,5,0,0.625,"(5,4)","kind"
"417","S139",2000,4,10,14,14,0,0,0.887735486351403,5,0,0.625,"(5,4)","kind"
"420","S140",2000,4,10,21,21,0,0,0.904652056901192,5,0,0.625,"(5,4)","kind"
"423","S141",2000,4,10,18,18,0,0,0.898885044213764,5,0,0.625,"(5,4)","kind"
"426","S142",2000,4,10,17,17,0,0,0.886966551326413,5,0,0.625,"(5,4)","kind"
"429","S143",2000,4,10,16,16,0,0,0.898500576701269,5,0,0.625,"(5,4)","kind"
"432","S144",2000,4,10,16,16,0,0,0.899653979238754,5,0,0.625,"(5,4)","kind"
"435","S145",2000,4,10,18,18,0,0,0.88158400615148,5,0,0.625,"(5,4)","kind"
"438","S146",2000,4,10,16,16,0,0,0.898500576701269,5,0,0.625,"(5,4)","kind"
"441","S147",2000,4,10,18,18,0,0,0.887351018838908,5,0,0.625,"(5,4)","kind"
"444","S148",2000,4,10,20,20,0,0,0.90080738177624,5,0,0.625,"(5,4)","kind"
"447","S149",2000,4,10,16,16,0,0,0.89119569396386,5,0,0.625,"(5,4)","kind"
"450","S150",2000,4,10,18,18,0,0,0.898116109188774,5,0,0.625,"(5,4)","kind"
"453","S151",2000,4,10,14,14,0,0,0.897347174163783,5,0,0.625,"(5,4)","kind"
"456","S152",2000,4,10,15,15,0,0,0.891580161476355,5,0,0.625,"(5,4)","kind"
"459","S153",2000,4,10,14,14,0,0,0.887735486351403,5,0,0.625,"(5,4)","kind"
"462","S154",2000,4,10,15,15,0,0,0.888888888888889,5,0,0.625,"(5,4)","kind"
"465","S155",2000,4,10,18,18,0,0,0.897347174163783,5,0,0.625,"(5,4)","kind"
"468","S156",2000,4,10,18,18,0,0,0.901191849288735,5,0,0.625,"(5,4)","kind"
"471","S157",2000,4,10,18,18,0,0,0.89042675893887,5,0,0.625,"(5,4)","kind"
"474","S158",2000,4,10,18,18,0,0,0.892733564013841,5,0,0.625,"(5,4)","kind"
"477","S159",2000,4,10,12,12,0,0,0.89119569396386,5,0,0.625,"(5,4)","kind"
"480","S160",2000,4,10,10,10,0,0,0.892349096501346,5,0,0.625,"(5,4)","kind"
"483","S161",2000,4,10,19,19,0,0,0.888888888888889,5,0,0.625,"(5,4)","kind"
"486","S162",2000,4,10,17,17,0,0,0.898885044213764,5,0,0.625,"(5,4)","kind"
"489","S163",2000,4,10,14,14,0,0,0.89119569396386,5,0,0.625,"(5,4)","kind"
"492","S164",2000,4,10,14,14,0,0,0.898885044213764,5,0,0.625,"(5,4)","kind"
"495","S165",2000,4,10,21,21,0,0,0.910034602076125,5,0,0.625,"(5,4)","kind"
"498","S166",2000,4,10,18,18,0,0,0.895424836601307,5,0,0.625,"(5,4)","kind"
"501","S167",2000,4,10,16,16,0,0,0.895809304113802,5,0,0.625,"(5,4)","kind"
"504","S168",2000,4,10,17,17,0,0,0.899269511726259,5,0,0.625,"(5,4)","kind"
"507","S169",2000,4,10,21,21,0,0,0.897731641676278,5,0,0.625,"(5,4)","kind"
"510","S170",2000,4,10,19,19,0,0,0.903883121876201,5,0,0.625,"(5,4)","kind"
"513","S171",2000,4,10,14,14,0,0,0.895424836601307,5,0,0.625,"(5,4)","kind"
"516","S172",2000,4,10,20,20,0,0,0.888119953863899,5,0,0.625,"(5,4)","kind"
"519","S173",2000,4,10,16,16,0,0,0.90080738177624,5,0,0.625,"(5,4)","kind"
"522","S174",2000,4,10,14,14,0,0,0.884659746251442,5,0,0.625,"(5,4)","kind"
"525","S175",2000,4,10,18,18,0,0,0.900422914263745,5,0,0.625,"(5,4)","kind"
"528","S176",2000,4,10,14,14,0,0,0.886197616301423,5,0,0.625,"(5,4)","kind"
"531","S177",2000,4,10,17,17,0,0,0.888119953863899,5,0,0.625,"(5,4)","kind"
"534","S178",2000,4,10,14,14,0,0,0.887735486351403,5,0,0.625,"(5,4)","kind"
"537","S179",2000,4,10,19,19,0,0,0.901960784313726,5,0,0.625,"(5,4)","kind"
"540","S180",2000,4,10,13,13,0,0,0.882352941176471,5,0,0.625,"(5,4)","kind"
"543","S181",2000,4,10,18,18,0,0,0.885813148788927,5,0,0.625,"(5,4)","kind"
"546","S182",2000,4,10,16,16,0,0,0.895424836601307,5,0,0.625,"(5,4)","kind"
"549","S183",2000,4,10,20,20,0,0,0.889657823913879,5,0,0.625,"(5,4)","kind"
"552","S184",2000,4,10,10,10,0,0,0.903883121876201,5,0,0.625,"(5,4)","kind"
"555","S185",2000,4,10,17,17,0,0,0.896193771626298,5,0,0.625,"(5,4)","kind"
"558","S186",2000,4,10,12,12,0,0,0.89042675893887,5,0,0.625,"(5,4)","kind"
"561","S187",2000,4,10,16,16,0,0,0.887735486351403,5,0,0.625,"(5,4)","kind"
"564","S188",2000,4,10,8,8,0,0,0.903883121876201,5,0,0.625,"(5,4)","kind"
"567","S189",2000,4,10,15,15,0,0,0.889657823913879,5,0,0.625,"(5,4)","kind"
"570","S190",2000,4,10,19,19,0,0,0.897731641676278,5,0,0.625,"(5,4)","kind"
"573","S191",2000,4,10,19,19,0,0,0.896962706651288,5,0,0.625,"(5,4)","kind"
"576","S192",2000,4,10,19,19,0,0,0.893118031526336,5,0,0.625,"(5,4)","kind"
"579","S193",2000,4,10,16,16,0,0,0.898885044213764,5,0,0.625,"(5,4)","kind"
"582","S194",2000,4,10,19,19,0,0,0.892733564013841,5,0,0.625,"(5,4)","kind"
"585","S195",2000,4,10,13,13,0,0,0.895040369088812,5,0,0.625,"(5,4)","kind"
"588","S196",2000,4,10,19,19,0,0,0.885428681276432,5,0,0.625,"(5,4)","kind"
"591","S197",2000,4,10,15,15,0,0,0.891580161476355,5,0,0.625,"(5,4)","kind"
"594","S198",2000,4,10,14,14,0,0,0.893886966551326,5,0,0.625,"(5,4)","kind"
"597","S199",2000,4,10,16,16,0,0,0.889273356401384,5,0,0.625,"(5,4)","kind"
"600","S200",2000,4,10,15,15,0,0,0.898885044213764,5,0,0.625,"(5,4)","kind"
"603","S201",2000,5,10,41,41,0,0,0.886197616301423,5,0,1.25,"(5,5)","kind"
"606","S202",2000,5,10,35,35,0,0,0.893886966551326,5,0,1.25,"(5,5)","kind"
"609","S203",2000,5,10,35,35,0,0,0.89042675893887,5,0,1.25,"(5,5)","kind"
"612","S204",2000,5,10,34,34,0,0,0.89042675893887,5,0,1.25,"(5,5)","kind"
"615","S205",2000,5,10,41,41,0,0,0.892733564013841,5,0,1.25,"(5,5)","kind"
"618","S206",2000,5,10,38,38,0,0,0.890042291426374,5,0,1.25,"(5,5)","kind"
"621","S207",2000,5,10,39,39,0,0,0.887351018838908,5,0,1.25,"(5,5)","kind"
"624","S208",2000,5,10,38,38,0,0,0.887735486351403,5,0,1.25,"(5,5)","kind"
"627","S209",2000,5,10,38,38,0,0,0.889273356401384,5,0,1.25,"(5,5)","kind"
"630","S210",2000,5,10,35,35,0,0,0.894655901576317,5,0,1.25,"(5,5)","kind"
"633","S211",2000,5,10,29,29,0,0,0.893886966551326,5,0,1.25,"(5,5)","kind"
"636","S212",2000,5,10,35,35,0,0,0.898500576701269,5,0,1.25,"(5,5)","kind"
"639","S213",2000,5,10,41,41,0,0,0.901191849288735,5,0,1.25,"(5,5)","kind"
"642","S214",2000,5,10,36,36,0,0,0.90080738177624,5,0,1.25,"(5,5)","kind"
"645","S215",2000,5,10,41,41,0,0,0.891580161476355,5,0,1.25,"(5,5)","kind"
"648","S216",2000,5,10,44,44,0,0,0.898885044213764,5,0,1.25,"(5,5)","kind"
"651","S217",2000,5,10,36,36,0,0,0.89119569396386,5,0,1.25,"(5,5)","kind"
"654","S218",2000,5,10,38,38,0,0,0.891580161476355,5,0,1.25,"(5,5)","kind"
"657","S219",2000,5,10,36,36,0,0,0.897347174163783,5,0,1.25,"(5,5)","kind"
"660","S220",2000,5,10,41,41,0,0,0.893886966551326,5,0,1.25,"(5,5)","kind"
"663","S221",2000,5,10,37,37,0,0,0.883506343713956,5,0,1.25,"(5,5)","kind"
"666","S222",2000,5,10,34,34,0,0,0.889273356401384,5,0,1.25,"(5,5)","kind"
"669","S223",2000,5,10,41,41,0,0,0.904652056901192,5,0,1.25,"(5,5)","kind"
"672","S224",2000,5,10,32,32,0,0,0.888119953863899,5,0,1.25,"(5,5)","kind"
"675","S225",2000,5,10,31,31,0,0,0.89119569396386,5,0,1.25,"(5,5)","kind"
"678","S226",2000,5,10,38,38,0,0,0.894655901576317,5,0,1.25,"(5,5)","kind"
"681","S227",2000,5,10,37,37,0,0,0.898885044213764,5,0,1.25,"(5,5)","kind"
"684","S228",2000,5,10,39,39,0,0,0.896193771626298,5,0,1.25,"(5,5)","kind"
"687","S229",2000,5,10,37,37,0,0,0.895040369088812,5,0,1.25,"(5,5)","kind"
"690","S230",2000,5,10,43,43,0,0,0.895809304113802,5,0,1.25,"(5,5)","kind"
"693","S231",2000,5,10,39,39,0,0,0.896578239138793,5,0,1.25,"(5,5)","kind"
"696","S232",2000,5,10,42,42,0,0,0.896578239138793,5,0,1.25,"(5,5)","kind"
"699","S233",2000,5,10,41,41,0,0,0.902345251826221,5,0,1.25,"(5,5)","kind"
"702","S234",2000,5,10,30,30,0,0,0.89196462898885,5,0,1.25,"(5,5)","kind"
"705","S235",2000,5,10,41,41,0,0,0.899653979238754,5,0,1.25,"(5,5)","kind"
"708","S236",2000,5,10,40,40,0,0,0.882737408688966,5,0,1.25,"(5,5)","kind"
"711","S237",2000,5,10,38,38,0,0,0.892733564013841,5,0,1.25,"(5,5)","kind"
"714","S238",2000,5,10,39,39,0,0,0.899653979238754,5,0,1.25,"(5,5)","kind"
"717","S239",2000,5,10,35,35,0,0,0.895809304113802,5,0,1.25,"(5,5)","kind"
"720","S240",2000,5,10,35,35,0,0,0.893502499038831,5,0,1.25,"(5,5)","kind"
"723","S241",2000,5,10,40,40,0,0,0.891580161476355,5,0,1.25,"(5,5)","kind"
"726","S242",2000,5,10,39,39,0,0,0.896193771626298,5,0,1.25,"(5,5)","kind"
"729","S243",2000,5,10,44,44,0,0,0.896578239138793,5,0,1.25,"(5,5)","kind"
"732","S244",2000,5,10,36,36,0,0,0.894271434063822,5,0,1.25,"(5,5)","kind"
"735","S245",2000,5,10,35,35,0,0,0.895424836601307,5,0,1.25,"(5,5)","kind"
"738","S246",2000,5,10,37,37,0,0,0.90003844675125,5,0,1.25,"(5,5)","kind"
"741","S247",2000,5,10,38,38,0,0,0.893502499038831,5,0,1.25,"(5,5)","kind"
"744","S248",2000,5,10,38,38,0,0,0.885813148788927,5,0,1.25,"(5,5)","kind"
"747","S249",2000,5,10,39,39,0,0,0.886966551326413,5,0,1.25,"(5,5)","kind"
"750","S250",2000,5,10,38,38,0,0,0.89042675893887,5,0,1.25,"(5,5)","kind"
"753","S251",2000,5,10,35,35,0,0,0.901960784313726,5,0,1.25,"(5,5)","kind"
"756","S252",2000,5,10,41,41,0,0,0.892349096501346,5,0,1.25,"(5,5)","kind"
"759","S253",2000,5,10,37,37,0,0,0.889657823913879,5,0,1.25,"(5,5)","kind"
"762","S254",2000,5,10,37,37,0,0,0.898500576701269,5,0,1.25,"(5,5)","kind"
"765","S255",2000,5,10,39,39,0,0,0.89119569396386,5,0,1.25,"(5,5)","kind"
"768","S256",2000,5,10,38,38,0,0,0.901191849288735,5,0,1.25,"(5,5)","kind"
"771","S257",2000,5,10,38,38,0,0,0.895424836601307,5,0,1.25,"(5,5)","kind"
"774","S258",2000,5,10,44,44,0,0,0.891580161476355,5,0,1.25,"(5,5)","kind"
"777","S259",2000,5,10,32,32,0,0,0.897731641676278,5,0,1.25,"(5,5)","kind"
"780","S260",2000,5,10,35,35,0,0,0.89119569396386,5,0,1.25,"(5,5)","kind"
"783","S261",2000,5,10,37,37,0,0,0.890811226451365,5,0,1.25,"(5,5)","kind"
"786","S262",2000,5,10,37,37,0,0,0.893502499038831,5,0,1.25,"(5,5)","kind"
"789","S263",2000,5,10,43,43,0,0,0.900422914263745,5,0,1.25,"(5,5)","kind"
"792","S264",2000,5,10,38,38,0,0,0.899269511726259,5,0,1.25,"(5,5)","kind"
"795","S265",2000,5,10,38,38,0,0,0.887351018838908,5,0,1.25,"(5,5)","kind"
"798","S266",2000,5,10,41,41,0,0,0.904267589388697,5,0,1.25,"(5,5)","kind"
"801","S267",2000,5,10,37,37,0,0,0.895424836601307,5,0,1.25,"(5,5)","kind"
"804","S268",2000,5,10,40,40,0,0,0.898116109188774,5,0,1.25,"(5,5)","kind"
"807","S269",2000,5,10,41,41,0,0,0.904267589388697,5,0,1.25,"(5,5)","kind"
"810","S270",2000,5,10,39,39,0,0,0.905805459438677,5,0,1.25,"(5,5)","kind"
"813","S271",2000,5,10,34,34,0,0,0.886966551326413,5,0,1.25,"(5,5)","kind"
"816","S272",2000,5,10,39,39,0,0,0.900422914263745,5,0,1.25,"(5,5)","kind"
"819","S273",2000,5,10,36,36,0,0,0.884275278738947,5,0,1.25,"(5,5)","kind"
"822","S274",2000,5,10,39,39,0,0,0.896193771626298,5,0,1.25,"(5,5)","kind"
"825","S275",2000,5,10,34,34,0,0,0.896578239138793,5,0,1.25,"(5,5)","kind"
"828","S276",2000,5,10,38,38,0,0,0.897347174163783,5,0,1.25,"(5,5)","kind"
"831","S277",2000,5,10,37,37,0,0,0.88081507112649,5,0,1.25,"(5,5)","kind"
"834","S278",2000,5,10,35,35,0,0,0.894271434063822,5,0,1.25,"(5,5)","kind"
"837","S279",2000,5,10,45,45,0,0,0.898500576701269,5,0,1.25,"(5,5)","kind"
"840","S280",2000,5,10,36,36,0,0,0.887351018838908,5,0,1.25,"(5,5)","kind"
"843","S281",2000,5,10,37,37,0,0,0.892349096501346,5,0,1.25,"(5,5)","kind"
"846","S282",2000,5,10,37,37,0,0,0.898885044213764,5,0,1.25,"(5,5)","kind"
"849","S283",2000,5,10,41,41,0,0,0.892349096501346,5,0,1.25,"(5,5)","kind"
"852","S284",2000,5,10,38,38,0,0,0.895809304113802,5,0,1.25,"(5,5)","kind"
"855","S285",2000,5,10,37,37,0,0,0.891580161476355,5,0,1.25,"(5,5)","kind"
"858","S286",2000,5,10,41,41,0,0,0.901191849288735,5,0,1.25,"(5,5)","kind"
"861","S287",2000,5,10,36,36,0,0,0.88158400615148,5,0,1.25,"(5,5)","kind"
