0
--------------------------------------------------------
The world settings      : 
Torus world             : No
Num Agents              : 100
Num Obstacles           : 10
Percent of free space   : 0
--------------------------------------------------------
The adaptive & perceptive settings: 
agent-coop     : yes
Adapt to obstacle       : yes
Attention distance      : 9
Attention angle         : 120
Attention resolution    : 9
Head tolerance          : 45
--------------------------------------------------------
The energy settings     : 
Energy maximum of agent : 200
Number of initial fruits: 4
Fruit sharing           : 5
Fruit's generating speed: 3
--------------------------------------------------------
Agents Behaviour Settings : 
Agents Initial behavior :selfish
Memory       : yes
--------------------------------------------------------
sim_num 	 time 	 rs 	 no 	 n_alive 	 n_kind 	 n_realist 	 n_selfish 	 vital-space 	 nf 	 Rep
S110	2000	4	10	17	0	0	17	0.8992695117262591	5	0
S111	0	4	10	100	0	0	100	0.8923490965013456	5	0
S111	1000	4	10	24	0	0	24	0.8923490965013456	5	0
S111	2000	4	10	14	0	0	14	0.8923490965013456	5	0
S112	0	4	10	100	0	0	100	0.903114186851211	5	0
S112	1000	4	10	22	0	0	22	0.903114186851211	5	0
S112	2000	4	10	14	0	0	14	0.903114186851211	5	0
S113	0	4	10	100	0	0	100	0.895040369088812	5	0
S113	1000	4	10	20	0	0	20	0.895040369088812	5	0
S113	2000	4	10	16	0	0	16	0.895040369088812	5	0
S114	0	4	10	100	0	0	100	0.8965782391387928	5	0
S114	1000	4	10	20	0	0	20	0.8965782391387928	5	0
S114	2000	4	10	17	0	0	17	0.8965782391387928	5	0
S115	0	4	10	100	0	0	100	0.8965782391387928	5	0
S115	1000	4	10	23	0	0	23	0.8965782391387928	5	0
S115	2000	4	10	14	0	0	14	0.8965782391387928	5	0
S116	0	4	10	100	0	0	100	0.8885044213763937	5	0
S116	1000	4	10	21	0	0	21	0.8885044213763937	5	0
S116	2000	4	10	18	0	0	18	0.8885044213763937	5	0
S117	0	4	10	100	0	0	100	0.889273356401384	5	0
S117	1000	4	10	23	0	0	23	0.889273356401384	5	0
S117	2000	4	10	18	0	0	18	0.889273356401384	5	0
S118	0	4	10	100	0	0	100	0.8961937716262975	5	0
S118	1000	4	10	19	0	0	19	0.8961937716262975	5	0
S118	2000	4	10	15	0	0	15	0.8961937716262975	5	0
S119	0	4	10	100	0	0	100	0.8904267589388697	5	0
S119	1000	4	10	19	0	0	19	0.8904267589388697	5	0
S119	2000	4	10	16	0	0	16	0.8904267589388697	5	0
S120	0	4	10	100	0	0	100	0.9015763168012303	5	0
S120	1000	4	10	20	0	0	20	0.9015763168012303	5	0
S120	2000	4	10	19	0	0	19	0.9015763168012303	5	0
S121	0	4	10	100	0	0	100	0.8888888888888888	5	0
S121	1000	4	10	23	0	0	23	0.8888888888888888	5	0
S121	2000	4	10	14	0	0	14	0.8888888888888888	5	0
S122	0	4	10	100	0	0	100	0.895040369088812	5	0
S122	1000	4	10	23	0	0	23	0.895040369088812	5	0
S122	2000	4	10	18	0	0	18	0.895040369088812	5	0
S123	0	4	10	100	0	0	100	0.8888888888888888	5	0
S123	1000	4	10	22	0	0	22	0.8888888888888888	5	0
S123	2000	4	10	15	0	0	15	0.8888888888888888	5	0
S124	0	4	10	100	0	0	100	0.8958093041138023	5	0
S124	1000	4	10	23	0	0	23	0.8958093041138023	5	0
S124	2000	4	10	16	0	0	16	0.8958093041138023	5	0
S125	0	4	10	100	0	0	100	0.8915801614763552	5	0
S125	1000	4	10	22	0	0	22	0.8915801614763552	5	0
S125	2000	4	10	15	0	0	15	0.8915801614763552	5	0
S126	0	4	10	100	0	0	100	0.8904267589388697	5	0
S126	1000	4	10	15	0	0	15	0.8904267589388697	5	0
S126	2000	4	10	7	0	0	7	0.8904267589388697	5	0
S127	0	4	10	100	0	0	100	0.8923490965013456	5	0
S127	1000	4	10	23	0	0	23	0.8923490965013456	5	0
S127	2000	4	10	16	0	0	16	0.8923490965013456	5	0
S128	0	4	10	100	0	0	100	0.8973471741637832	5	0
S128	1000	4	10	19	0	0	19	0.8973471741637832	5	0
S128	2000	4	10	13	0	0	13	0.8973471741637832	5	0
S129	0	4	10	100	0	0	100	0.9054209919261822	5	0
S129	1000	4	10	22	0	0	22	0.9054209919261822	5	0
S129	2000	4	10	17	0	0	17	0.9054209919261822	5	0
S130	0	4	10	100	0	0	100	0.8835063437139562	5	0
S130	1000	4	10	19	0	0	19	0.8835063437139562	5	0
S130	2000	4	10	11	0	0	11	0.8835063437139562	5	0
S131	0	4	10	100	0	0	100	0.9092656670511342	5	0
S131	1000	4	10	24	0	0	24	0.9092656670511342	5	0
S131	2000	4	10	19	0	0	19	0.9092656670511342	5	0
S132	0	4	10	100	0	0	100	0.8800461361014994	5	0
S132	1000	4	10	20	0	0	20	0.8800461361014994	5	0
S132	2000	4	10	16	0	0	16	0.8800461361014994	5	0
S133	0	4	10	100	0	0	100	0.8938869665513264	5	0
S133	1000	4	10	24	0	0	24	0.8938869665513264	5	0
S133	2000	4	10	20	0	0	20	0.8938869665513264	5	0
S134	0	4	10	100	0	0	100	0.9077277970011534	5	0
S134	1000	4	10	24	0	0	24	0.9077277970011534	5	0
S134	2000	4	10	18	0	0	18	0.9077277970011534	5	0
S135	0	4	10	100	0	0	100	0.8965782391387928	5	0
S135	1000	4	10	19	0	0	19	0.8965782391387928	5	0
S135	2000	4	10	17	0	0	17	0.8965782391387928	5	0
S136	0	4	10	100	0	0	100	0.9008073817762399	5	0
S136	1000	4	10	21	0	0	21	0.9008073817762399	5	0
S136	2000	4	10	16	0	0	16	0.9008073817762399	5	0
S137	0	4	10	100	0	0	100	0.8935024990388312	5	0
S137	1000	4	10	25	0	0	25	0.8935024990388312	5	0
S137	2000	4	10	22	0	0	22	0.8935024990388312	5	0
S138	0	4	10	100	0	0	100	0.8896578239138793	5	0
S138	1000	4	10	21	0	0	21	0.8896578239138793	5	0
S138	2000	4	10	16	0	0	16	0.8896578239138793	5	0
S139	0	4	10	100	0	0	100	0.8996539792387543	5	0
S139	1000	4	10	25	0	0	25	0.8996539792387543	5	0
S139	2000	4	10	17	0	0	17	0.8996539792387543	5	0
S140	0	4	10	100	0	0	100	0.8965782391387928	5	0
S140	1000	4	10	23	0	0	23	0.8965782391387928	5	0
S140	2000	4	10	19	0	0	19	0.8965782391387928	5	0
S141	0	4	10	100	0	0	100	0.8919646289888504	5	0
S141	1000	4	10	18	0	0	18	0.8919646289888504	5	0
S141	2000	4	10	12	0	0	12	0.8919646289888504	5	0
S142	0	4	10	100	0	0	100	0.8954248366013072	5	0
